objname,al2000,de2000,type,incl,logd25,brief,ut,bt,vt,kt,v,mabs
ESO197-018,2.0418958,-50.9316389,E,59.98,1.201,21.187,14.16,13.497,12.6,9.619,6315,-21.395
NGC0808,2.0657741,-23.3124549,Sbc,64.72,1.116,21.226,14.212,14.172,13.522,10.149,4938.6,-20.643
UGC01597,2.1044439,-0.291448,S0,70.1,0.936,18.741,15.276,14.775,14.566,10.547,12880.8,-21.906
ESO414-032,2.1354208,-28.6365417,SABa,90,1.255,21.102,14.984,14.674,13.764,10.576,5431.6,-20.19
NGC0842,2.164116,-7.7623963,S0,84.14,1.241,20.707,14.125,13.635,12.685,9.572,3800,-20.162
PGC008288,2.1698611,-9.0598787,SBa,50.41,0.819,22.011,16.185,15.07,15.2,11.348,12464.1,-21.598
ESO153-027,2.175561,-53.8366033,S0-a,90,1.259,21.608,14.548,14.298,13.468,10.517,5716,-20.508
ESO197-027,2.1812556,-49.6985278,Sc,70.95,0.951,21.387,15.78,15.561,14.83,11.412,14000,-21.857
ESO197-029,2.2006153,-50.2839583,E?,90,1.053,21.336,15.38,15.213,14.89,11.777,6389.6,-19.767
NGC0862,2.2175027,-42.0335799,E,26.26,1.015,20.668,14.253,13.853,12.893,9.83,5382.8,-20.647
IC1788,2.263879,-31.2009735,SBbc,68.49,1.403,21.666,13.155,13.065,12.365,9.269,3513.3,-20.928
NGC0881,2.3125812,-6.6391421,SABc,58.25,1.358,22.378,13.432,13.232,12.442,9.393,5252.4,-21.711
NGC0897,2.3517699,-33.7206148,Sa,48.23,1.303,21.778,13.254,12.814,11.854,8.846,4759,-21.567
ESO355-008,2.3552339,-34.3188504,S0,61.61,1.092,21.717,15.351,14.921,13.861,10.613,6287.4,-19.984
NGC0895,2.3601306,-5.5213909,Sc,49.07,1.521,22.651,12.252,12.302,11.772,9.477,2288.7,-20.835
IC1796,2.3798072,-41.3710428,E-S0,62.9,1.031,21.216,14.631,14.221,13.668,9.88,5095.5,-20.146
NGC0922,2.4178699,-24.7883352,SBc,33.41,1.322,21.31,11.998,12.398,12.068,10.163,3087,-20.932
PGC009252,2.4336866,1.0179782,SBb,44.39,0.827,22.204,16.619,15.715,14.89,11.755,6910.7,-19.655
NGC0934,2.4591448,-0.2444997,E-S0,56.89,1.056,21.365,15.986,14.288,13.428,10.524,6307.8,-20.709
NGC0945,2.4770333,-10.5391667,SBc,28.46,1.314,22.571,12.874,12.794,12.074,9.387,4485,-21.424
